Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2272350,2014-02-18,2014-02-18,,The Battery,https://www.imdb.com/title/tt2272350/,movie,6.3,101,2012,"Adventure, Drama, Horror",9593,2012-10-13,Jeremy Gardner
2,tt0876294,2014-02-18,2014-02-18,,The Zombie Diaries,https://www.imdb.com/title/tt0876294/,movie,4.0,85,2006,"Horror, Sci-Fi",4783,2006-10-29,"Michael G. Bartlett, Kevin Gates"
3,tt0103959,2014-02-18,2014-02-18,,Chrome Hearts,https://www.imdb.com/title/tt0103959/,movie,4.1,86,1989,"Comedy, Horror",2030,1989-10-31,Dan Hoskins
4,tt2364997,2014-02-18,2014-02-18,,Zombies Vs. Strippers,https://www.imdb.com/title/tt2364997/,movie,3.5,75,2012,"Comedy, Horror",846,2012-07-09,Alex Nicolaou
5,tt0273302,2014-02-18,2014-02-18,,Junk: Shiryô-gari,https://www.imdb.com/title/tt0273302/,movie,5.4,83,2000,Horror,1164,2000-01-22,Atsushi Muroga
6,tt1134674,2014-02-18,2014-02-18,,ZMD: Zombies of Mass Destruction,https://www.imdb.com/title/tt1134674/,movie,5.0,89,2009,"Comedy, Horror, Sci-Fi",4195,2009-04-18,Kevin Hamedani
7,tt0082559,2014-02-18,2014-02-18,,Virus,https://www.imdb.com/title/tt0082559/,movie,4.9,99,1980,"Horror, Sci-Fi, Thriller",5463,1980-11-10,"Claudio Fragasso, Bruno Mattei"
8,tt0428390,2014-02-18,2014-02-18,,Severed,https://www.imdb.com/title/tt0428390/,movie,4.5,93,2005,"Horror, Sci-Fi, Thriller",2109,2005-09-25,Carl Bessai
9,tt2082152,2014-02-18,2014-02-18,,13 Eerie,https://www.imdb.com/title/tt2082152/,movie,4.5,87,2013,Horror,3050,2013-03-29,Lowell Dean
10,tt2436516,2014-02-18,2014-02-18,,Go Goa Gone,https://www.imdb.com/title/tt2436516/,movie,6.6,108,2013,"Action, Adventure, Comedy, Horror, Sci-Fi",14288,2013-05-10,"Raj Nidimoru, Krishna D.K."
11,tt1838571,2014-02-18,2014-02-18,,Juan de los muertos,https://www.imdb.com/title/tt1838571/,movie,6.4,92,2011,"Action, Comedy, Horror",10686,2011-09-10,Alejandro Brugués
12,tt2236182,2014-02-18,2014-02-18,,Rise of the Zombies,https://www.imdb.com/title/tt2236182/,movie,3.7,89,2012,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",3249,2012-10-08,Nick Lyon
13,tt1753753,2014-02-18,2014-02-18,,Eaters,https://www.imdb.com/title/tt1753753/,movie,4.0,94,2011,Horror,1458,2011-04-07,"Luca Boni, Marco Ristori"
14,tt1362058,2014-02-18,2014-02-18,,Cockneys vs Zombies,https://www.imdb.com/title/tt1362058/,movie,5.9,88,2012,"Action, Comedy, Horror, Thriller",19747,2012-08-23,Matthias Hoene
15,tt2084934,2014-02-18,2014-02-18,,Zombibi,https://www.imdb.com/title/tt2084934/,movie,4.9,90,2012,"Comedy, Horror",1552,2012-02-15,"Erwin van den Eshof, Martijn Smits"
16,tt0436498,2014-02-18,2014-02-18,,Last Rites,https://www.imdb.com/title/tt0436498/,video,3.4,90,2006,"Action, Horror, Sci-Fi",994,2006-06-30,Duane Stinnett
17,tt1386925,2014-02-18,2014-02-18,,The Dead,https://www.imdb.com/title/tt1386925/,movie,5.7,105,2010,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",9418,2010-08-30,"Howard J. Ford, Jonathan Ford"
18,tt1278322,2014-02-18,2014-02-18,,Colin,https://www.imdb.com/title/tt1278322/,movie,4.7,97,2008,"Action, Drama, Horror",1612,2008-11-15,Marc Price
19,tt0365748,2014-02-18,2014-02-18,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",565799,2004-03-29,Edgar Wright
20,tt0926063,2014-02-18,2014-02-18,,Dance of the Dead,https://www.imdb.com/title/tt0926063/,movie,5.8,87,2008,"Action, Comedy, Horror, Sci-Fi",11799,2008-03-09,Gregg Bishop
21,tt0277605,2014-02-18,2014-02-18,,Sang faa sau see,https://www.imdb.com/title/tt0277605/,movie,6.4,94,1998,"Comedy, Horror, Sci-Fi",2550,1998-06-11,Wilson Yip
22,tt1821352,2014-02-18,2014-02-18,,Bong of the Dead,https://www.imdb.com/title/tt1821352/,video,3.3,91,2011,"Action, Comedy, Horror",676,2011-05-12,Thomas Newman
23,tt1438499,2014-02-18,2014-02-18,,Oneechanbara: The Movie - Vortex,https://www.imdb.com/title/tt1438499/,video,4.2,85,2009,Horror,343,2009-06-06,Tsuyoshi Shôji
24,tt0770739,2014-02-18,2014-02-18,,Dead & Deader,https://www.imdb.com/title/tt0770739/,tvMovie,4.7,89,2006,"Action, Comedy, Horror, Sci-Fi",1577,2006-12-16,Patrice Dinhut
25,tt0399934,2014-02-18,2014-02-18,,Zombie Honeymoon,https://www.imdb.com/title/tt0399934/,movie,4.5,83,2004,"Drama, Horror, Romance",2489,2004-10-23,David Gebroe
26,tt1027762,2014-02-18,2014-02-18,,Wasting Away,https://www.imdb.com/title/tt1027762/,movie,5.7,90,2007,"Comedy, Horror",3433,2007-10-16,Matthew Kohnen
27,tt0096511,2014-02-18,2014-02-18,,Zombi 3,https://www.imdb.com/title/tt0096511/,movie,4.8,95,1988,"Action, Horror, Sci-Fi",5140,1988-06-30,"Claudio Fragasso, Lucio Fulci, Bruno Mattei"
28,tt1077258,2014-02-18,2014-02-18,,Planet Terror,https://www.imdb.com/title/tt1077258/,movie,7.1,105,2007,"Action, Comedy, Horror, Sci-Fi, Thriller",214783,2007-04-06,Robert Rodriguez
29,tt0071431,2014-02-18,2014-02-18,,No profanar el sueño de los muertos,https://www.imdb.com/title/tt0071431/,movie,6.8,95,1974,Horror,8619,1974-09-30,Jorge Grau
30,tt0082966,2014-02-18,2014-02-18,,Quella villa accanto al cimitero,https://www.imdb.com/title/tt0082966/,movie,6.1,86,1981,Horror,15199,1981-08-14,Lucio Fulci
31,tt0084357,2014-02-18,2014-02-18,,La morte vivante,https://www.imdb.com/title/tt0084357/,movie,5.7,90,1982,Horror,2347,1982-08-25,Jean Rollin
