,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
247,Das Cabinet des Dr. Caligari,movie,8.0,76.0,1920,"Horror, Mystery, Thriller",65778,1920-02-26,Robert Wiene,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85,White Zombie,movie,6.2,69.0,1932,Horror,10982,1932-07-28,Victor Halperin,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48,The Walking Dead,movie,6.6,66.0,1936,"Crime, Drama, Horror, Sci-Fi",2789,1936-03-01,Michael Curtiz,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
86,Revolt of the Zombies,movie,3.4,65.0,1936,"Adventure, Horror",1779,1936-06-04,Victor Halperin,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
87,King of the Zombies,movie,5.2,67.0,1941,"Adventure, Comedy, Horror",2340,1941-05-14,Jean Yarbrough,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
84,I Walked with a Zombie,movie,7.0,69.0,1943,"Drama, Fantasy, Horror, Romance",12861,1943-04-08,Jacques Tourneur,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
43,Revenge of the Zombies,movie,4.6,61.0,1943,"Drama, Horror, Thriller",752,1943-09-17,Steve Sekely,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,Creature with the Atom Brain,movie,5.5,69.0,1955,"Crime, Horror, Sci-Fi, Thriller",1542,1955-06-22,Edward L. Cahn,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
77,Plan 9 from Outer Space,movie,3.9,79.0,1957,"Horror, Sci-Fi",39203,1957-03-15,Edward D. Wood Jr.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,The Trollenberg Terror,movie,5.1,84.0,1958,"Horror, Sci-Fi",4437,1958-10-07,Quentin Lawrence,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Invisible Invaders,movie,5.0,67.0,1959,"Sci-Fi, Horror",1710,1959-05-15,Edward L. Cahn,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
173,Teenage Zombies,movie,2.9,73.0,1959,"Horror, Sci-Fi",1163,1959-11-18,Jerry Warren,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
230,Santo contra los zombies,movie,5.3,85.0,1962,"Adventure, Horror, Action, Sci-Fi",223,1962-05-31,Benito Alazraki,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
125,Matango,movie,6.4,89.0,1963,"Horror, Mystery, Sci-Fi, Thriller",3292,1963-08-11,Ishirô Honda,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
171,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,movie,2.3,82.0,1964,Horror,5169,1964-02-10,Ray Dennis Steckler,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
78,The Earth Dies Screaming,movie,5.8,62.0,1964,"Horror, Sci-Fi",2049,1964-10-04,Terence Fisher,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,The Plague of the Zombies,movie,6.6,90.0,1966,Horror,5214,1966-01-09,John Gilling,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,The Frozen Dead,movie,5.0,95.0,1966,"Horror, Sci-Fi",1002,1966-10-31,Herbert J. Leder,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
115,Night of the Living Dead,movie,7.8,96.0,1968,"Horror, Thriller",132070,1968-10-01,George A. Romero,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
155,I Drink Your Blood,movie,5.9,83.0,1971,Horror,3876,1971-01-20,David E. Durston,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,The Omega Man,movie,6.4,98.0,1971,"Action, Drama, Sci-Fi, Thriller",32486,1971-08-01,Boris Sagal,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
82,Zombie,movie,3.5,92.0,1971,Horror,1575,1971-10-29,Del Tenney,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
196,La noche del terror ciego,movie,6.1,101.0,1972,"Adventure, Horror, Thriller",6062,1972-04-10,Amando de Ossorio,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
179,Children Shouldn't Play with Dead Things,movie,5.3,87.0,1972,"Comedy, Horror",4709,1972-06-09,Bob Clark,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50,Garden of the Dead,movie,4.0,59.0,1972,"Sci-Fi, Horror",559,1972-09-13,John Hayes,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
75,Pánico en el Transiberiano,movie,6.5,91.0,1972,"Adventure, Horror, Sci-Fi, Thriller",11580,1972-09-30,Eugenio Martín,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Psychomania,movie,5.7,85.0,1973,"Adventure, Horror",2943,1973-01-05,Don Sharp,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
160,The Crazies,movie,6.1,103.0,1973,"Action, Horror, Sci-Fi",13813,1973-03-16,George A. Romero,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
193,Messiah of Evil,movie,6.3,90.0,1973,Horror,4854,1973-04-23,"Gloria Katz, Willard Huyck",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Sugar Hill,movie,5.8,91.0,1974,"Action, Crime, Horror",2156,1974-02-06,Paul Maslansky,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
228,From Beyond the Grave,movie,6.6,98.0,1974,"Drama, Fantasy, Horror",4794,1974-02-21,Kevin Connor,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
238,Dead of Night,movie,6.6,88.0,1974,"Drama, Horror, Thriller",5515,1974-08-29,Bob Clark,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
